n	float (Wzór 1)	double (Wzór 1)	float (Wzór 2)	double (Wzór 2)
0	0.01	0.01	0.01	0.01
1	0.0397	0.0397	0.0397	0.0397
2	0.1540717	0.1540717	0.1540717	0.1540717
3	0.5450726	0.5450726	0.5450726	0.5450726
4	1.2889781	1.288978	1.288978	1.288978
5	0.1715188	0.1715191	0.1715193	0.1715191
6	0.5978191	0.5978201	0.5978205	0.5978201
7	1.3191134	1.3191138	1.319114	1.3191138
8	0.0562732	0.0562716	0.0562711	0.0562716
9	0.2155929	0.2155868	0.215585	0.2155868
10	0.7229306	0.7229143	0.7229093	0.7229143
11	1.3238364	1.3238419	1.3238437	1.3238419
12	0.037717	0.0376953	0.0376883	0.0376953
13	0.1466002	0.1465184	0.1464918	0.1465184
14	0.521926	0.5216706	0.5215877	0.5216706
15	1.2704837	1.2702618	1.2701895	1.2702618
16	0.2395482	0.2403522	0.2406139	0.2403522
17	0.7860428	0.7881012	0.7887706	0.7881012
18	1.2905813	1.2890943	1.2886053	1.2890943
19	0.1655247	0.1710848	0.1729102	0.1710848
20	0.5799036	0.5965293	0.601947	0.5965293
21	1.3107498	1.3185756	1.3207675	1.3185756
22	0.0888042	0.0583776	0.0497894	0.0583776
23	0.3315584	0.2232866	0.1917208	0.2232866
24	0.9964407	0.7435757	0.6566125	0.7435757
25	1.0070806	1.3155883	1.33303	1.3155883
26	0.9856885	0.0700353	0.0012131	0.0700353
27	1.0280086	0.2654264	0.0048479	0.2654264
28	0.9416294	0.850352	0.019321	0.850352
29	1.1065198	1.2321125	0.0761642	1.2321125
30	0.7529209	0.3741465	0.2872537	0.3741465
31	1.3110139	1.0766292	0.9014707	1.0766292
32	0.0877831	0.8291256	1.1679347	0.8291255
33	0.3280148	1.2541547	0.5795245	1.2541547
34	0.9892781	0.2979069	1.3105521	0.2979067
35	1.021099	0.9253821	0.0895681	0.9253815
36	0.9564666	1.1325323	0.3342052	1.1325332
37	1.0813814	0.6822411	1.0017414	0.6822384
38	0.8173683	1.3326056	0.9965081	1.3326059
39	1.2652004	0.0029092	1.0069473	0.0029082
40	0.2586055	0.0116112	0.9859607	0.0116073
41	0.8337916	0.0460405	1.0274873	0.046025
42	1.2495412	0.1778028	0.9427588	0.1777451
43	0.3141053	0.6163696	1.1046526	0.6162003
44	0.9604349	1.325744	0.7578382	1.3256928
45	1.074434	0.0301847	1.3083966	0.0303871
46	0.8345106	0.1180055	0.0978813	0.1187781
47	1.2488185	0.430246	0.362783	0.4327878
48	0.316631	1.1656492	1.0562975	1.1692353
49	0.9657583	0.5863826	0.8778968	0.5756075
