lp;id slownika;kod IATA;nazwa;id kraju;kraj;miasto;utc;strefa czasowa;data od;data do
722;9010;BIN;Bamian;1;Afganistan;;;;2018.05.22 09:00;
915;9227;BST;Bost;1;Afganistan;;;;2018.05.22 09:00;
1077;9404;CBN;Camp Bastion;1;Afganistan;;;;2018.05.22 09:00;
1098;9427;CCN;Chaghcharan;1;Afganistan;;;;2018.05.22 09:00;
1536;9889;DAZ;Darwaz;1;Afganistan;;;;2018.05.22 09:00;
1986;10371;FAH;Farah;1;Afganistan;;;;2018.05.22 09:00;
1999;10386;FBD;Faizabad;1;Afganistan;;;;2018.05.22 09:00;
2378;10794;GRG;Gardez;1;Afganistan;;;;2018.05.22 09:00;
2469;10891;GZI;Ghazni;1;Afganistan;;;;2018.05.22 09:00;
2518;10946;HEA;Herat;1;Afganistan;;;;2018.05.22 09:00;
2828;11274;IMZ;Nimroz;1;Afganistan;;;;2018.05.22 09:00;
2952;11405;JAA;Jalalabad;1;Afganistan;;;;2018.05.22 09:00;
16;21;KBL;Kabul International Airport;1;Afganistan;Kabul;;;2018.05.22 09:00;
3167;11627;KDH;Kandahar;1;Afganistan;;;;2018.05.22 09:00;
3240;11704;KHT;Khost;1;Afganistan;;;;2018.05.22 09:00;
3471;11950;KUR;Kuran-O-Munjan;1;Afganistan;;;;2018.05.22 09:00;
3491;11971;KWH;Khwahan;1;Afganistan;;;;2018.05.22 09:00;
3798;12300;LQN;Qala Nau;1;Afganistan;;;;2018.05.22 09:00;
4205;12732;MMZ;Maimana;1;Afganistan;;;;2018.05.22 09:00;
23;31;MZR;Mazari Szarif Airport;1;Afganistan;Mazar-i Szarif;;;2018.05.22 09:00;
5903;14503;SBF;Sardeh Band;1;Afganistan;;;;2018.05.22 09:00;
6001;14609;SGA;Sheghnan;1;Afganistan;;;;2018.05.22 09:00;
6570;15217;TII;Tirinkot;1;Afganistan;;;;2018.05.22 09:00;
6724;15374;TQN;Taluqan;1;Afganistan;;;;2018.05.22 09:00;
6974;15636;URN;Urgoon;1;Afganistan;;;;2018.05.22 09:00;
6981;15643;URZ;Uruzgan;1;Afganistan;;;;2018.05.22 09:00;
7781;16472;ZAJ;Zaranj;1;Afganistan;;;;2018.05.22 09:00;
6563;15210;TIA;Tirana;2;Albania;Tirana;Central European Standard Time;(UTC+01:00) Sarajewo, Skopie, Warszawa, Zagrzeb;2018.05.22 09:00;
107;8366;AAE;Annaba (ex Bone);3;Algieria;;;;2018.05.22 09:00;
8379;22;ALG;Houari Boumedienne International Airpor;3;Algieria;Algier;W. Central Africa Standard Time;(UTC+01:00) Afryka srodkowozachodnia;2018.05.22 09:00;
546;8821;AZR;Adrar;3;Algieria;;;;2018.05.22 09:00;
733;9023;BJA;Bejaia (ex Bougie);3;Algieria;;;;2018.05.22 09:00;
777;9070;BLJ;Batna;3;Algieria;;;;2018.05.22 09:00;
811;9107;BMW;Bordj Badj Mokthar;3;Algieria;;;;2018.05.22 09:00;
908;9219;BSK;Biskra;3;Algieria;;;;2018.05.22 09:00;
951;9266;BUJ;Ain Eddis Apt/Bou Saada;3;Algieria;;;;2018.05.22 09:00;
1073;9399;CBH;Bechar;3;Algieria;;;;2018.05.22 09:00;
1505;9858;CZL;Constantine;3;Algieria;;;;2018.05.22 09:00;
1623;9980;DJG;Djanet;3;Algieria;;;;2018.05.22 09:00;
1842;10220;ELG;El Golea;3;Algieria;;;;2018.05.22 09:00;
1854;10232;ELU;El Qued;3;Algieria;;;;2018.05.22 09:00;
2190;10592;GBB;Gara Djebilet;3;Algieria;;;;2018.05.22 09:00;
2274;10679;GHA;Ghardaia;3;Algieria;;;;2018.05.22 09:00;
2296;10702;GJL;Jijel;3;Algieria;;;;2018.05.22 09:00;
2596;11031;HME;Hassi Messaoud;3;Algieria;;;;2018.05.22 09:00;
2727;11168;IAM;In Amenas;3;Algieria;;;;2018.05.22 09:00;
2849;11298;INZ;In Salah;3;Algieria;;;;2018.05.22 09:00;
3769;12270;LOO;Laghouat;3;Algieria;;;;2018.05.22 09:00;
4394;12927;MUW;Mascara;3;Algieria;;;;2018.05.22 09:00;
4513;13048;MZW;Mecheria;3;Algieria;;;;2018.05.22 09:00;
4848;13404;OGX;Ouargla;3;Algieria;;;;2018.05.22 09:00;
4950;13509;ORN;Oran;3;Algieria;;;;2018.05.22 09:00;
6094;14706;SKI;Skikda (ex Philippeville);3;Algieria;;;;2018.05.22 09:00;
6500;15143;TEE;Tbessa;3;Algieria;;;;2018.05.22 09:00;
6538;15183;TGR;Touggourt;3;Algieria;;;;2018.05.22 09:00;
6566;15213;TID;Tiaret;3;Algieria;;;;2018.05.22 09:00;
6635;15282;TLM;Tlemcen;3;Algieria;;;;2018.05.22 09:00;
6659;15307;TMR;Tamanrasset;3;Algieria;;;;2018.05.22 09:00;
6663;15311;TMX;Timimoun;3;Algieria;;;;2018.05.22 09:00;
7158;15835;VVZ;Illizi;3;Algieria;;;;2018.05.22 09:00;
7790;16482;ZBI;Berriane;3;Algieria;;;;2018.05.22 09:00;
307;8574;ALV;Andorra la Vella;4;Andora;;;;2018.05.22 09:00;
346;8613;ANL;Andulo;5;Angola;;;;2018.05.22 09:00;
421;8691;ARZ;N'Zeto;5;Angola;;;;2018.05.22 09:00;
548;8824;AZZ;Ambriz;5;Angola;;;;2018.05.22 09:00;
